"company	location	industry	total_laid_off	percentage_laid_off	date	stage	country	funds_raised_millions"
"MediaMath	New York City	Marketing	53	0.08	4/7/2020	Private Equity	United States	607"
"Group Nine Media	New York City	Media	50	0.07	4/7/2020	Unknown	United States	190"
"Payfactors	Boston	HR	46	NULL	4/7/2020	Unknown	United States	NULL"
"Nav	Salt Lake City	Finance	30	NULL	4/7/2020	Series C	United States	99"
"AskNicely	Portland	Support	NULL	NULL	4/7/2020	Series A	United States	15"
"RainFocus	Salt Lake City	Marketing	NULL	NULL	4/7/2020	Private Equity	United States	41"
"Metromile	SF Bay Area	Finance	100	0.33	4/6/2020	Series E	United States	293"
"Rock Content	Belo Horizonte	Marketing	100	0.2	4/6/2020	Series A	Brazil	0.7"
"BounceX	New York City	Marketing	77	0.2	4/6/2020	Series B	United States	75"
"C6 Bank	Sao Paulo	Finance	60	0.06	4/6/2020	Unknown	Brazil	NULL"
"Wordstream	Boston	Marketing	26	0.1	4/6/2020	Acquired	United States	28"
"Cogito	Boston	Support	24	0.14	4/6/2020	Series C	United States	92"
"BusBud	Montreal	Transportation	23	0.32	4/6/2020	Series B	Canada	21"
"Borrowell	Toronto	Finance	15	0.2	4/6/2020	Series B	Canada	72"
"PerkSpot	Chicago	HR	10	0.1	4/6/2020	Private Equity	United States	50"
"Bitfarms	Quebec	Crypto	NULL	NULL	4/6/2020	Post-IPO	Canada	25"
"Hopper	Boston	Travel	NULL	NULL	4/6/2020	Series D	United States	183"
"Mapbox	Washington D.C.	Data	NULL	NULL	4/6/2020	Series C	United States	227"
"Astra	SF Bay Area	Aerospace	40	0.25	4/5/2020	Unknown	United States	100"
"Iflix	Kuala Lumpur	Consumer	50	0.12	4/4/2020	Unknown	Malaysia	348"
"Gympass	Sao Paulo	Fitness	467	0.33	4/3/2020	Series D	Brazil	300"
"Sojern	SF Bay Area	Marketing	300	0.5	4/3/2020	Series D	United States	162"
"MaxMilhas	Belo Horizonte	Travel	167	0.42	4/3/2020	Unknown	Brazil	NULL"
"Minted	SF Bay Area	Retail	147	0.37	4/3/2020	Series E	United States	297"
"Velodyne Lidar	SF Bay Area	Transportation	140	NULL	4/3/2020	Unknown	United States	225"
"Zoox	SF Bay Area	Transportation	120	NULL	4/3/2020	Series B	United States	955"
"Traveloka	Jakarta	Travel	100	0.1	4/3/2020	Unknown	Indonesia	NULL"
"Arrive Logistics	Austin	Logistics	75	0.07	4/3/2020	Series B	United States	35"
"Salsify	Boston	Retail	60	0.13	4/3/2020	Series D	United States	97"
"Jetty	New York City	Finance	35	0.4	4/3/2020	Series B	United States	40"
"D2iQ	SF Bay Area	Infrastructure	34	0.13	4/3/2020	Series D	United States	247"
"Bustle Digital Group	New York City	Media	24	0.08	4/3/2020	Series E	United States	80"
"Bustle Digital Group	New York City	Media	19	NULL	4/3/2020	Series E	United States	80"
"Opencare	Toronto	Healthcare	18	0.25	4/3/2020	Series A	Canada	24"
"Anagram	Los Angeles	Healthcare	17	NULL	4/3/2020	Series A	United States	14"
"G/O Media Group	New York City	Media	14	0.05	4/3/2020	Unknown	United States	NULL"
"DSCO	Salt Lake City	Retail	12	NULL	4/3/2020	Series A	United States	4"
"Tripbam	Dallas	Travel	10	0.25	4/3/2020	Unknown	United States	NULL"
"Avantage Entertainment	Minneapolis	Media	5	0.2	4/3/2020	Unknown	United States	NULL"
"Alegion	Austin	Data	NULL	NULL	4/3/2020	Series A	United States	16"
"AllyO	SF Bay Area	HR	NULL	NULL	4/3/2020	Series B	United States	64"
"Mews	Prague	Travel	NULL	NULL	4/3/2020	Series B	Czech Republic	41"
"PeopleGrove	SF Bay Area	HR	NULL	NULL	4/3/2020	Series A	United States	7"
"The Muse	New York City	Recruiting	NULL	NULL	4/3/2020	Series B	United States	28"
"The Wing	New York City	Real Estate	NULL	0.5	4/3/2020	Series C	United States	117"
"MindBody	San Luis Obispo	Fitness	700	0.35	4/2/2020	Post-IPO	United States	114"
"Katerra	SF Bay Area	Construction	240	0.03	4/2/2020	Series D	United States	1200"
"Ritual	Toronto	Food	196	0.54	4/2/2020	Series C	Canada	112"
"ClassPass	New York City	Fitness	154	0.22	4/2/2020	Series E	United States	549"
"eGym	Munich	Fitness	100	0.25	4/2/2020	Series D	Germany	109"
"Voi	Stockholm	Transportation	100	NULL	4/2/2020	Series B	Sweden	167"
"Industrious	New York City	Real Estate	90	0.2	4/2/2020	Series D	United States	222"
"1stdibs	New York City	Retail	70	0.17	4/2/2020	Series D	United States	253"
"ThirdLove	SF Bay Area	Retail	65	0.3	4/2/2020	Series B	United States	68"
"Latch	New York City	Security	60	NULL	4/2/2020	Series B	United States	152"
"The Predictive Index	Boston	HR	59	0.25	4/2/2020	Acquired	United States	65"
"Shuttl	New Delhi	Transportation	40	NULL	4/2/2020	Series C	India	122"
"Jobcase	Boston	Recruiting	39	0.2	4/2/2020	Private Equity	United States	118"
"Copper	SF Bay Area	Marketing	35	NULL	4/2/2020	Series C	United States	102"
"Dynamic Signal	SF Bay Area	HR	35	0.19	4/2/2020	Series E	United States	114"
"FiscalNote	Washington D.C.	Media	30	NULL	4/2/2020	Series D	United States	50"
"Sauce Labs	SF Bay Area	Infrastructure	30	0.15	4/2/2020	Unknown	United States	151"
"Humu	SF Bay Area	HR	26	NULL	4/2/2020	Series B	United States	40"
"TripleLift	New York City	Marketing	23	0.07	4/2/2020	Series B	United States	16"
"Coding Dojo	Seattle	Education	7	0.07	4/2/2020	Unknown	United States	2"
"Instamojo	Bengaluru	Finance	6	0.06	4/2/2020	Unknown	India	8"
"Synergysuite	Salt Lake City	Food	5	0.07	4/2/2020	Series A	United States	6"
"Atlanta Tech Village	Atlanta	Real Estate	NULL	0.5	4/2/2020	Unknown	United States	NULL"
"Capillary	Bengaluru	Retail	NULL	NULL	4/2/2020	Private Equity	India	102"
"Modsy	SF Bay Area	Retail	NULL	NULL	4/2/2020	Series C	United States	70"
"The Modist	Dubai	Retail	NULL	1	4/2/2020	Unknown	United Arab Emirates	NULL"
"Wonder	New York City	Other	NULL	NULL	4/2/2020	Unknown	United States	NULL"
"Booksy	SF Bay Area	Consumer	200	NULL	4/1/2020	Series B	United States	48"
"Flymya	Yangon	Travel	200	0.33	4/1/2020	Unknown	Myanmar	NULL"
"PatientPop	Los Angeles	Healthcare	100	0.2	4/1/2020	Series B	United States	75"
"Showpad	Chicago	Marketing	52	0.12	4/1/2020	Series D	United States	159"
"Highsnobiety	Berlin	Media	51	0.25	4/1/2020	Series A	Germany	8.5"
"Earnin	SF Bay Area	Finance	50	0.2	4/1/2020	Series C	United States	190"
"Wonolo	SF Bay Area	Recruiting	46	0.13	4/1/2020	Series C	United States	52"
"Acko	Mumbai	Finance	45	0.09	4/1/2020	Unknown	India	143"
"Moovel	Portland	Transportation	28	0.37	4/1/2020	Unknown	United States	NULL"
"Aqua Security	Tel Aviv	Security	24	0.09	4/1/2020	Series C	Israel	100"
"Crayon	Boston	Marketing	20	0.2	4/1/2020	Series A	United States	16"
"Pana	Denver	Travel	18	NULL	4/1/2020	Series A	United States	11"
"Sensibill	Toronto	Finance	17	0.2	4/1/2020	Series B	Canada	50"
"Usermind	Seattle	Marketing	15	0.25	4/1/2020	Series C	United States	46"
"Incredible Health	SF Bay Area	Healthcare	9	0.4	4/1/2020	Series A	United States	15"
"Currency	Los Angeles	Finance	NULL	NULL	4/1/2020	Unknown	United States	NULL"
"GOAT Group	Los Angeles	Retail	NULL	NULL	4/1/2020	Series D	United States	197"
"Le Tote	SF Bay Area	Retail	NULL	0.5	4/1/2020	Series C	United States	62"
"Levelset	New Orleans	Construction	NULL	NULL	4/1/2020	Series C	United States	46"
"Pebblepost	New York City	Marketing	NULL	0.6	4/1/2020	Series C	United States	81"
"WhyHotel	Washington D.C.	Travel	NULL	0.5	4/1/2020	Series B	United States	33"
"KeepTruckin	SF Bay Area	Logistics	349	0.18	3/31/2020	Series D	United States	227"
"AdRoll	Salt Lake City	Marketing	210	0.3	3/31/2020	Series C	United States	89"
"Rover	Seattle	Consumer	194	0.41	3/31/2020	Series G	United States	310"
"Turo	SF Bay Area	Transportation	108	0.3	3/31/2020	Series E	United States	467"
"uShip	Austin	Logistics	65	0.37	3/31/2020	Series D	United States	69"
"SkySlope	Sacramento	Real Estate	50	0.25	3/31/2020	Acquired	United States	NULL"
"Siteimprove	Minneapolis	Marketing	40	NULL	3/31/2020	Unknown	United States	55"
"AngelList	SF Bay Area	Recruiting	20	NULL	3/31/2020	Series B	United States	26"
"Zenoti	Seattle	Fitness	17	0.04	3/31/2020	Series C	United States	91"
"DialSource	Sacramento	Marketing	5	0.14	3/31/2020	Series B	United States	26"
"Adara	SF Bay Area	Travel	NULL	NULL	3/31/2020	Series C	United States	67"
"Claravine	Salt Lake City	Marketing	NULL	NULL	3/31/2020	Seed	United States	4"
"Domio	New York City	Travel	NULL	0.3	3/31/2020	Series B	United States	116"
"Kazoo	Austin	HR	NULL	0.35	3/31/2020	Series A	United States	8"
"Snap Finance	Salt Lake City	Finance	NULL	NULL	3/31/2020	Unknown	United States	NULL"
"Zerto	Boston	Infrastructure	NULL	NULL	3/31/2020	Series E	United States	130"
"Thumbtack	SF Bay Area	Consumer	250	0.3	3/30/2020	Series F	United States	423"
"RigUp	Austin	Energy	120	0.25	3/30/2020	Series D	United States	423"
"FabHotels	New Delhi	Travel	80	0.2	3/30/2020	Series B	India	48"
"Hibob	Tel Aviv	HR	70	0.3	3/30/2020	Series A	Israel	45"
"PeerStreet	Los Angeles	Finance	51	0.3	3/30/2020	Series C	United States	110"
"Maven	Seattle	Media	31	0.09	3/30/2020	Post-IPO	United States	77"
"Blume Global	SF Bay Area	Logistics	30	0.1	3/30/2020	Unknown	United States	NULL"
"Catalant	Boston	Other	30	NULL	3/30/2020	Series E	United States	110"
"Starship Technologies	Tallinn	Transportation	30	NULL	3/30/2020	Series A	Estonia	82"
"Loftsmart	New York City	Real Estate	25	0.75	3/30/2020	Series A	United States	18"
"Caliva	SF Bay Area	Retail	20	NULL	3/30/2020	Series A	United States	75"
"Iris Nova	New York City	Food	9	0.5	3/30/2020	Seed	United States	15"
